Title,URL,Publication_Date,Content
Exclusive Interview with Lt.-Gen. Bacha Debele on Current Affairs – (Part 1),https://www.waltainfo.com/exclusive-interview-with-lt-gen-bacha-debele-on-current-affairs-part-1/,,"Walta Media and Communication Corporate S.C. (WMCC) is a broadcast media company based in Addis Ababa, the political capital of Africa. The company which owns TV and Radio Stations aspires to become a pan African media company currently disseminating information in local and international languages."
Respected Comrade Kim Jong Un Guides Consultative Meeting for Regional Development Project,https://www.waltainfo.com/respected-comrade-kim-jong-un-guides-consultative-meeting-for-regional-development-project/,,"The noble sense of mission, far-reaching ideal and stubborn practical ability of the Workers’ Party of Korea, which regards it as its main focus to originate everything in its revolutionary guidance to absolutely defending the people’s rights and interests and steadily develop in depth the policy for their well-being, strongly promote the comprehensive prosperity and development of the DPRK, unfolding in succession the blueprints of transformation most desired and welcomed by the people. At a time when the modern rural housing construction is going on in a massive way to remove the countryside’s centuries-old backwardness on a nationwide scale and the ten-year revolution was launched in real earnest to rebuild the regional economy on a completely new and advanced basis, under the WPK’s grand regional development strategy, the Party Central Committee made an another crucial decision and entered into the preparations for adopting an eventful policy decision on carrying out the historic task of successfully building advanced public health facilities, sci-tech dissemination centers and grain management facilities simultaneously in cities and counties across the country. General Secretary Kim Jong Un on August 31 convened and guided a consultative meeting for the regional development project as part of the preparations for adopting a new important decision to hasten the epochal development and comprehensive prosperity of regions as a Party policy. Present at the meeting were Presidium members Kim Tok Hun and Jo Yong Won and relevant members of the Political Bureau of the WPK Central Committee, chief secretaries of the provincial party committees, commanding officers of the services and corps of the Korean People’s Army which dispatched their units to the regional construction in different areas, and officials in the field of design. Deeply analyzing the significance and importance of the construction of health facilities, sci-tech dissemination centers, and grain management facilities in cities and counties that arise as a more essential requirement in accelerating the development of the Korean revolution and the historic cause of regional rejuvenation at present, the General Secretary said that to thoroughly implement the Party’s regional development strategy is not merely a practical undertaking for building factories and structures but an important political work for giving full play to the advantages of our state system based on the people-first principle to implant the truth and invincibility of the socialist cause deep in the people and ensure the steady succession to the socialist cause. In recent years the WPK set forth a policy on building light industry factories in local areas to develop cities and counties, regional bases, substantially, materially, and in a planned way and has pushed ahead with its implementation in every way, but this alone is not enough to provide the regional people across the country with a sustained and improved material and cultural life, he said. The newly-added three-point construction task is in full accord with the regional construction policy of the WPK and its policy of prioritizing science and technology and people-oriented policies and it is essential for implementing the programme of state construction to achieve the balanced and simultaneous development of the whole country and, accordingly, it is an urgent task to carry it into practice, he said. He reaffirmed that now is the best time for the start of this important revolutionary work since KPA units have been deployed in every province, city, and county and a national material supply and command system established in a well-regulated way to implement the Regional Development 20×10 Policy. The Party’s policy for regional development in the new era should not be confined to the construction of light industry factories but should be a comprehensive policy dealing with public health, science, and education, and only then, it can make a genuine contribution to the improvement of regional people’s material and cultural life and radically improve the efficiency of regional development, he said, clarifying all the principles to be adhered to in building advanced city and county hospitals, scientific and technological dissemination bases and grain management facilities. He said that it is his first cherished desire to build city and county hospitals which will greatly contribute to improving the regional health situation, relatively inferior, and promoting the life and security and health of local people, adding that it would be good to add the construction of modern health facilities to the Regional Development 20×10 Policy and complete their construction in the set year without fail for the people in different local areas, though it is very difficult to do, and that this will be regarded as the first task the Korean revolution and the times entrust the Party and the government. Science and technology dissemination centers, too, should be completed in a big way wonderfully to provide the working people from all walks of life in local areas with enough conditions for contributing to the development of the state by dint of technology and knowledge and also comprehensive and integrated rice-processing facilities be built to further improve the people’s diet, he stressed. He said that it is important for the provincial, city and county Party committees and people’s committees to find out their definite shares of work, including preparations for the operation of newly-to-be-built objects, and launch effective work for their realization, more deeply mindful that they are responsible for the implementation of the regional development policy. The meeting, on the basis of in-depth study of the key issues guaranteeing the feasibility of the three-point construction essential for the regional development, discussed such detailed practical measures as the reinforcement of KPA units at all levels involved in the regional construction and the establishment of a central policy guidance system over the construction sector. Noting that these gigantic projects launched by the WPK are an important undertaking based on scientific calculation and the Party Central Committee requires that they should be carried out on the highest level so that the local people can benefit from them even after 100 years, Kim Jong Un expressed belief that the more our Party, government and army shoulder heavy burden, the faster the new era of regional transformation change will be brought and the further the welfare of people across the country will be promoted. Saying that great years are being witnessed when a grand cause of regional transformation, envisaged as an ideal for nearly 80 years, is realized during the ten-year revolution, he called upon all officials to conduct their work responsibly with their strong will and firm confidence to surely bring about a new appearance in which the whole country has been changed and a radical turn has taken place in the life of the regional people as required by the Party’s policy of regional development. He said that the historic cause of regional development is a revolutionary undertaking to be proud of, though it needs much effort, and that when new edifices symbolic of the people’s happiness and regional development have appeared in 20 cities and counties every year and the whole country is seething with the song of radical changes, we will feel more proud of the dynamic pace of today which we have taken with readiness for courageous struggle and fortitude. The precious guidelines, which stress our sacred and just cause of supporting the people as heaven and indicate the ways for comprehensively and rapidly developing the whole country as befitting the status and position of a powerful country while firmly maintaining the Korean-style view on development and mode of development, redoubled the noble sense of mission and spirit of exertion of all the participants in the meeting. The new direction of struggle, which is of great significance in accelerating the historic cause of regional rejuvenation, is the responsible option and worthwhile revolutionary work of the WPK which regards it as its revolutionary climate and supreme desire to courageously shoulder all the burdens for realizing the people’s cherished wishes and bringing about the future full of happiness. All the participants raised their enthusiastic applause, extending the highest tribute to Kim Jong Un who is dynamically ushering in a new era of socialist civilization and prosperity while arousing all our servicepersons and civilians to the great struggle with his ardent spirit of serving the country and the people and sacred step of the most staunch and active exploration. The consultative meeting, held under the guidance of the respected Comrade Kim Jong Un , served as a political occasion of weighty significance in providing a practical guarantee for the expanded and deepened regional development policy of the WPK. The grand ideal and strong might of self-reliance of the WPK translating the people’s dreams and wishes into brilliant reality are making a series of remarkable changes and eye-opening efflorescence in all aspects of socialist construction, looking forward to the rosy future.  The content of this article does not represent the opinions and perspectives of Addis Walta. Walta Media and Communication Corporate S.C. (WMCC) is a broadcast media company based in Addis Ababa, the political capital of Africa. The company which owns TV and Radio Stations aspires to become a pan African media company currently disseminating information in local and international languages."
"Sudan’s Burhan Declares State of Emergency, Dissolves Government",https://www.waltainfo.com/sudans-burhan-declares-state-of-emergency-dissolves-government/,,"Addis Ababa, October 25, 2021 (Walta) – Sudan’s ruling council head Abdel Fattah al-Burhan announced on Monday a state of emergency across the country and the dissolution of the transitional sovereign council and the government. According to the Information Ministry of Sudan earlier this morning, Security forces in Sudan have moved Prime Minister Abdalla Hamdok to an unknown location after he refused to issue a statement in support of an ongoing coup. It was noted that nine high level government officials including Information Minister Hamza Baloul, media adviser to the Prime Minister, Faisal Mohammed Saleh, and the spokesman for Sudan’s ruling sovereign council, Mohammed al-Fiky Suliman, were also arrested. Last week, tens of thousands of Sudanese marched in several cities to back the full transfer of power to civilians, and to counter a rival days-long sit-in outside the presidential palace in Khartoum demanding a return to “military rule”. Walta Media and Communication Corporate S.C. (WMCC) is a broadcast media company based in Addis Ababa, the political capital of Africa. The company which owns TV and Radio Stations aspires to become a pan African media company currently disseminating information in local and international languages."
Many Health Professionals have Sacrificed Life,https://www.waltainfo.com/many-health-professionals-have-sacrificed-life/,,"Walta Media and Communication Corporate S.C. (WMCC) is a broadcast media company based in Addis Ababa, the political capital of Africa. The company which owns TV and Radio Stations aspires to become a pan African media company currently disseminating information in local and international languages."
DR Congo’s First Female PM Sworn in,https://www.waltainfo.com/dr-congos-first-female-pm-sworn-in/,,"Addis Ababa, June 13, 2024(Addis Walta) Judith Suminwa Tuluka was sworn in early Wednesday as the first female prime minister of the Democratic Republic of the Congo (DRC). Before the National Assembly, the lower house of the DRC parliament, Tuluka and the other 54 new government members officially took office after deputies approved Tuluka’s action programme with a required absolute majority. Tuluka, while presenting her action programme Tuesday afternoon, said she was proud to have broken the “glass ceiling” as the first Congolese woman to serve the country as prime minister. “By assuming this position, I am fully aware of the historical importance of this moment and the symbolism of this appointment for the Congolese nation. I feel both the weight of the responsibility on me and an immense pride in the idea of representing within the Republic, the culmination of the efforts of all Congolese men and women tending to break the famous ‘glass ceiling’,” noted Tuluka. She promised to lay the groundwork for an “emerging Congo” by creating around 2.6 million jobs and an academy of mathematics and artificial intelligence in Kinshasa, while laying out actions on national security, economic diversification, infrastructure connectivity, public services, and climate change. Holder of a master’s degree in applied economics from the Universite libre de Bruxelles of Belgium, Tuluka was appointed state minister for Planning in March 2023. From 2020 to 2023, she also served as deputy coordinator of the Presidential Strategic Monitoring Council, an agency affiliated with the presidential office. Walta Media and Communication Corporate S.C. (WMCC) is a broadcast media company based in Addis Ababa, the political capital of Africa. The company which owns TV and Radio Stations aspires to become a pan African media company currently disseminating information in local and international languages."
Maintaining Original Ideals,https://www.waltainfo.com/maintaining-original-ideals/,," The Workers’ Party of Korea, founded on October 10, 1945, is a Juche-oriented, revolutionary party which has remained faithful to its ideals in the early period of its founding and its revolutionary nature decade after decade and century after century. First of all, it holds fast to and adds brilliance to its revolutionary line of independence. Having adopted independence as the lifeline of the Korean revolution and the cornerstone of state building in the initial days of its founding, it has addressed all problems arising in the revolution and construction from the Juche-oriented stand and on the principle of national independence. It has flatly rejected the arbitrary pressure and high-handed practices by outside forces to threaten the nation’s rights to independence, existence and development and tarnish its prestige. In this way it has advanced the revolution and construction in the Korean style and on the strength of the Korean people. The backbone and lifeline of the independent national economy has been defended and strong potentials and foundations for restructuring and developing the overall economy built up. Boosting the most powerful defence capabilities of the nation and developing them to be more invincible has been promoted as the most pressing task for defending the supreme interests and security of the nation. Momentous events have taken place one after another. All the credit for this goes to the energetic leadership of the WPK which has consistently pursued the revolutionary line of independence. The WPK keeps to its noble ideals and nature as a genuine party for the people which takes responsible care of their destiny. Since its birth it has made clear its mission as an organization which was formed for the people and works for their good. As it has applied in its building and activities the principle that the masses of the people are the masters of the revolution and construction and they are also the motive force of the revolution and construction, it has established a climate of serving them unconditionally across the Party. It has made sure that the top and absolute priority be given to the people’s opinions, demands, interests and convenience in working out and implementing its policies. Under its leadership officials come closer to the people particularly in hard times. This has become the mainstream in the Party. According to its plans to provide the people with a stable and cultured life monumental structures have sprung up in different parts of the country. The true nature of the Party finds its conspicuous expression in the fact that it leads the Korean revolution along the road of socialism. After advancing policies towards socialism in the first days of its founding, the WPK has proficiently led the anti-imperialist, anti-feudal democratic revolution and socialist revolution and construction, bringing about a lot of changes. As the Party steadily adhered to the banner of socialism, the DPRK could make amazing achievements in the face of worldwide political upheavals and unprecedented trials. Today the dignity of the WPK is demonstrated at the highest level as it is led by the respected Comrade Kim Jong Un at the helm. He has ensured that the ideals of the WPK at its birth are consistently maintained in all its activities and work. This has helped develop the WPK into a party which has struck its roots deep in the minds of the people and formed a harmonious whole with them, and into the longest-ruling socialist party and a Juche-oriented, revolutionary party which solves all problems in accordance with the aspirations and demands of the people and the specific conditions of the country. Seeing the WPK steadily leading the cause of independence for the masses of the people without the slightest mistakes, setbacks and deviations, the Korean people are convinced that their country will grow more powerful and prosperous and they will lead a happier life without anything to envy.  The content of this article does not represent the opinions and perspectives of Addis Walta. Walta Media and Communication Corporate S.C. (WMCC) is a broadcast media company based in Addis Ababa, the political capital of Africa. The company which owns TV and Radio Stations aspires to become a pan African media company currently disseminating information in local and international languages."
European Federation of Journalist to Suspend Using Social Media X,https://www.waltainfo.com/european-federation-of-journalist-to-suspend-using-social-media-x/,," Addis Ababa, December 2, 2024 (Addis Walta) European Federation of Journalists (EFJ) decided to stop posting on X, formerly known as Twitter, as of January 20th, 2025, the day Donald Trump took office in the Whitehouse. EFJ stated that it can “no longer ethically participate in a social network that its owner has transformed into a machine of disinformation and propaganda”. The federation which represent over 250, 000 journalists from 44 countries reached to this decision following US president-elect, Donald Trump and the owner of X, Elon Musk cooperation which seen as “a threat to democracy and freedom of expression”. EFJ decision comes after various media outlets such as The Guardian, Dagens Nyheter, La Vanguardia, Ouest-France and Sud_Ouest quit using X due to the impact of Elon Musk on the platform. ““The social media site X has become the preferred vector for conspiracy theories, racism, far-right ideas and misogynistic rhetoric. X is a platform that no longer serves the public interest at all, but the special ideological and financial interests of its owner and his political allies, ”EFJ president, Maja Sever, stating the reason to suspend using X. “The editorial evolution of X, since its acquisition by Elon Musk, is simply contrary to our humanist values, our commitment to press freedom and media pluralism, and our fight against all forms of hatred and discrimination. The decision to suspend our @EFJEUROPE account seemed clear to us and we invite all our members and all organizations defending freedom of expression to migrate to other platforms,” per The London Economic. Walta Media and Communication Corporate S.C. (WMCC) is a broadcast media company based in Addis Ababa, the political capital of Africa. The company which owns TV and Radio Stations aspires to become a pan African media company currently disseminating information in local and international languages."
House Re-elects Abiy Ahmed as Prime Minister,https://www.waltainfo.com/house-re-elects-abiy-ahmed-as-prime-minister-2/,,"Walta Media and Communication Corporate S.C. (WMCC) is a broadcast media company based in Addis Ababa, the political capital of Africa. The company which owns TV and Radio Stations aspires to become a pan African media company currently disseminating information in local and international languages."
EU Vows Continued Support for Ethiopia’s Efforts to Build Resilient Health System,https://www.waltainfo.com/eu-vows-continued-support-for-ethiopias-efforts-to-build-resilient-health-system/,,"Addis Ababa, April 24, 2024(Addis Walta) The European Union (EU) has announced that it continue all the necessary support for the efforts to build resilient health systems in Ethiopia and improve universal health coverage. Health Minister Dr. Mekdes Daba received a delegation from the EU at her office where the two sides deliberated on how to further strengthen cooperation toward realizing a sustainable and resilient health system in Ethiopia. Dr. Mekdes thanked the EU for its continued support, calling for further assistance in the endeavors to ensure a resilient health system, prevent sexual violence, and provide the necessary responses to the issue and mainstream gender issues in the health system. She further called on the EU to assist the activities to improve access to mental health services, build capacities of health professionals, and accelerate the restoration and reconstruction of health facilities destroyed and damaged by conflict. Saying that efforts are underway to expand advanced bio-medical laboratories in the region and build capacities of other countries, Dr. Mekdes called on the EU to give priority to this effort. EU Ethiopia Representative, Roberto Schiliro, pointed out that his organization has been a close partner to Ethiopia in the health sector for many years, pledging commitment to continue support for the efforts to build a resilient health system and improve universal health coverage in the country. Walta Media and Communication Corporate S.C. (WMCC) is a broadcast media company based in Addis Ababa, the political capital of Africa. The company which owns TV and Radio Stations aspires to become a pan African media company currently disseminating information in local and international languages."
GAVI to Provide Cold Chain Facility to Boost Immunization Coverage in Ethiopia,https://www.waltainfo.com/gavi-to-provide-cold-chain-facility-to-boost-immunization-coverage-in-ethiopia/,,"Addis Ababa, March 14, 2024(Addis Walta) Global Alliance for Vaccine and Immunization (GAVI) announced to provide a cold chain facility to boost immunization coverage in Ethiopia. GAVI’s Director of High Impact Countries Country Programmes Delivery, Dr. Tokunbo Oshin discussed with Semereta Sewasew, State Minister of Finance. The discussion mainly highlighted co-financing requirements, the approved Cold Chain Equipment Optimization Platform (CCEOP), and financial accountability. The two sides approved support to Ethiopia on the Cold Chain facility through which 18 million USD is expected to be provided by GAVI and 4 million USD is allocated as joint investment from the government in two years period. Dr. Tokunbo mentioned that Ethiopia has been one of the priority countries in terms of vaccine and vaccine-related supports for the last two decades and it has been honoring the co-financing obligation as required by GAVI for vaccine delivery and cash grants for immunization-related interventions in the country. Semereta Sewasew affirmed that Ethiopia will remain consistent in meeting the co-financing requirements to show the government’s unwavering commitment to invest in the implementation of the national immunization plan. Moreover, on behalf of the Federal Democratic Republic of Ethiopia, the Ministry of Finance appreciated GAVI for its valuable support in the health sector. Walta Media and Communication Corporate S.C. (WMCC) is a broadcast media company based in Addis Ababa, the political capital of Africa. The company which owns TV and Radio Stations aspires to become a pan African media company currently disseminating information in local and international languages."
US ambassador to Kenya Resigns Following Trump’s Presidential Victory,https://www.waltainfo.com/us-ambassador-to-kenya-resigns-following-trumps-presidential-victory/,,"Addis Ababa, November 14, 2024 (Addis Walta) US ambassador to Kenya, Meg Whitman, resigned a day after Donald Trump won election. In her resignation letter, Ambassador Meg Whitman said “It has been an honour and privilege to serve the American people through strengthening our partnership with Kenya.” She was appointed as US ambassador to Kenya in 2022 by President Joe Biden. “My efforts also opened the door for more American companies to do business in Kenya. Trade, jobs, and US investment in Kenya are at historic highs because of our efforts,” she said. In her letter she cited American public’s decision in the 2024 election as reason for her resignation. She stated “The American people have spoken, and a new president will be inaugurated in January,” per TRT World. US relation with Sub-Saharan Africa said to be neglected under previous Trump administration characterized by his racist remarks about the people in Africa. Walta Media and Communication Corporate S.C. (WMCC) is a broadcast media company based in Addis Ababa, the political capital of Africa. The company which owns TV and Radio Stations aspires to become a pan African media company currently disseminating information in local and international languages."
